Airport_ID_start,Airport_ID_end,Route_ID
CTU,SYX,CTU-SYX
CTU,SZX,CTU-SZX
CTU,TAO,CTU-TAO
CTU,TNA,CTU-TNA
CTU,TSA,CTU-TSA
CTU,TSN,CTU-TSN
CTU,TYN,CTU-TYN
CTU,URC,CTU-URC
CTU,WNZ,CTU-WNZ
CTU,WUH,CTU-WUH
CTU,WUX,CTU-WUX
CTU,WXN,CTU-WXN
CTU,XIC,CTU-XIC
CTU,XIY,CTU-XIY
CTU,XMN,CTU-XMN
CTU,XNN,CTU-XNN
CTU,XUZ,CTU-XUZ
CTU,YIH,CTU-YIH
CTU,YTY,CTU-YTY
CZX,CKG,CZX-CKG
CZX,HRB,CZX-HRB
CZX,XMN,CZX-XMN
CZX,ZUH,CZX-ZUH
DAT,TYN,DAT-TYN
DCY,CTU,DCY-CTU
DLC,CKG,DLC-CKG
DLC,HGH,DLC-HGH
DLC,HRB,DLC-HRB
DLC,TNA,DLC-TNA
DLC,XUZ,DLC-XUZ
DNH,LHW,DNH-LHW
DSN,CTU,DSN-CTU
DSN,SHE,DSN-SHE
DYG,CKG,DYG-CKG
DYG,NKG,DYG-NKG
FOC,CSX,FOC-CSX
FOC,XIY,FOC-XIY
GXH,LXA,GXH-LXA
GXH,XIY,GXH-XIY
HAK,CKG,HAK-CKG
HAK,CTU,HAK-CTU
HAK,HGH,HAK-HGH
HAK,NGB,HAK-NGB
HAK,ZUH,HAK-ZUH
HDG,CTU,HDG-CTU
HET,CTU,HET-CTU
HFE,CTU,HFE-CTU
HGH,CGO,HGH-CGO
HGH,CKG,HGH-CKG
HGH,CTU,HGH-CTU
HGH,DLC,HGH-DLC
HGH,HAK,HGH-HAK
HGH,KWE,HGH-KWE
HGH,TSN,HGH-TSN
HGH,TYN,HGH-TYN
HKT,CKG,HKT-CKG
HKT,CTU,HKT-CTU
HRB,CGO,HRB-CGO
HRB,CZX,HRB-CZX
HRB,DLC,HRB-DLC
HRB,NGB,HRB-NGB
HRB,NKG,HRB-NKG
HRB,NZH,HRB-NZH
HRB,SJW,HRB-SJW
HRB,TNA,HRB-TNA
HRB,TSN,HRB-TSN
HRB,WNZ,HRB-WNZ
HRB,WUH,HRB-WUH
HRB,XIY,HRB-XIY
HRB,XUZ,HRB-XUZ
JGN,LHW,JGN-LHW
JHG,CTU,JHG-CTU
JHG,KMG,JHG-KMG
JIQ,CTU,JIQ-CTU
JJN,KWE,JJN-KWE
JJN,WUH,JJN-WUH
JZH,CTU,JZH-CTU
KHG,URC,KHG-URC
KHN,CKG,KHN-CKG
KHN,CTU,KHN-CTU
KHN,KMG,KHN-KMG
KHN,NGB,KHN-NGB
KMG,CGO,KMG-CGO
KMG,CKG,KMG-CKG
KMG,CSX,KMG-CSX
KMG,CTU,KMG-CTU
KMG,JHG,KMG-JHG
KMG,KHN,KMG-KHN
KMG,KWE,KMG-KWE
KMG,LUM,KMG-LUM
KMG,NGB,KMG-NGB
KMG,NKG,KMG-NKG
KMG,TAO,KMG-TAO
KMG,TNA,KMG-TNA
KMG,TPE,KMG-TPE
KMG,WXN,KMG-WXN
KMG,XIY,KMG-XIY
KMG,XMN,KMG-XMN
KMG,XUZ,KMG-XUZ
KOW,CTU,KOW-CTU
KOW,XMN,KOW-XMN
KWE,CTU,KWE-CTU
KWE,HGH,KWE-HGH
KWE,JJN,KWE-JJN
KWE,KMG,KWE-KMG
KWE,LHW,KWE-LHW
KWE,SYX,KWE-SYX
KWE,WNZ,KWE-WNZ
KWE,XUZ,KWE-XUZ
KWL,SJW,KWL-SJW
KWL,SYX,KWL-SYX
LHW,CKG,LHW-CKG
LHW,CTU,LHW-CTU
LHW,DNH,LHW-DNH
LHW,JGN,LHW-JGN
LHW,KWE,LHW-KWE
LHW,TSN,LHW-TSN
LJG,CKG,LJG-CKG
LJG,CTU,LJG-CTU
LJG,MIG,LJG-MIG
LUM,CTU,LUM-CTU
LUM,KMG,LUM-KMG
LXA,CKG,LXA-CKG
LXA,CTU,LXA-CTU
LXA,GXH,LXA-GXH
LXA,XIY,LXA-XIY
LXA,XNN,LXA-XNN
LYI,XIY,LYI-XIY
LZY,CTU,LZY-CTU
MEL,CTU,MEL-CTU
MIG,LJG,MIG-LJG
MIG,NKG,MIG-NKG
MIG,SYX,MIG-SYX
MIG,XNN,MIG-XNN
NGB,CKG,NGB-CKG
NGB,HAK,NGB-HAK
NGB,HRB,NGB-HRB
NGB,KHN,NGB-KHN
NGB,KMG,NGB-KMG
NGB,SHE,NGB-SHE
NGB,SYX,NGB-SYX
NKG,CGQ,NKG-CGQ
NKG,CKG,NKG-CKG
NKG,CTU,NKG-CTU
NKG,DYG,NKG-DYG
NKG,HRB,NKG-HRB
NKG,KMG,NKG-KMG
NKG,MIG,NKG-MIG
NKG,SYX,NKG-SYX
NNG,CKG,NNG-CKG
NNG,CTU,NNG-CTU
NNG,SGN,NNG-SGN
NNG,WUH,NNG-WUH
NZH,HRB,NZH-HRB
PEK,CKG,PEK-CKG
PEK,CTU,PEK-CTU
PEK,WXN,PEK-WXN
PEK,ZHY,PEK-ZHY
PVG,CKG,PVG-CKG
PVG,CTU,PVG-CTU
PZI,CKG,PZI-CKG
PZI,CTU,PZI-CTU
SGN,NNG,SGN-NNG
SHE,CSX,SHE-CSX
SHE,CTU,SHE-CTU
SHE,DSN,SHE-DSN
SHE,NGB,SHE-NGB
SHE,TYN,SHE-TYN
SHE,XUZ,SHE-XUZ
SHE,YVR,SHE-YVR
SJW,CTU,SJW-CTU
SJW,HRB,SJW-HRB
SJW,KWL,SJW-KWL
SWA,CKG,SWA-CKG
SYD,CKG,SYD-CKG
SYX,CKG,SYX-CKG
SYX,CTU,SYX-CTU
SYX,KWE,SYX-KWE
SYX,KWL,SYX-KWL
SYX,MIG,SYX-MIG
SYX,NGB,SYX-NGB
SYX,NKG,SYX-NKG
SYX,TNA,SYX-TNA
SYX,WNZ,SYX-WNZ
SYX,YBP,SYX-YBP
SZX,CKG,SZX-CKG
SZX,CTU,SZX-CTU
SZX,WXN,SZX-WXN
TAO,CTU,TAO-CTU
TAO,KMG,TAO-KMG
TNA,CGQ,TNA-CGQ
TNA,CKG,TNA-CKG
TNA,CTU,TNA-CTU
TNA,DLC,TNA-DLC
TNA,HRB,TNA-HRB
TNA,KMG,TNA-KMG
TNA,SYX,TNA-SYX
TNA,XIY,TNA-XIY
TPE,KMG,TPE-KMG
TSA,CKG,TSA-CKG
TSA,CTU,TSA-CTU
TSN,CGQ,TSN-CGQ
TSN,CKG,TSN-CKG
TSN,CTU,TSN-CTU
TSN,HGH,TSN-HGH
TSN,HRB,TSN-HRB
TSN,LHW,TSN-LHW
TYN,CKG,TYN-CKG
TYN,CTU,TYN-CTU
TYN,DAT,TYN-DAT
TYN,HGH,TYN-HGH
TYN,SHE,TYN-SHE
URC,CGO,URC-CGO
URC,CKG,URC-CKG
URC,CTU,URC-CTU
URC,KHG,URC-KHG
URC,XIY,URC-XIY
UYN,XIY,UYN-XIY
WNZ,CSX,WNZ-CSX
WNZ,CTU,WNZ-CTU
WNZ,HRB,WNZ-HRB
WNZ,KWE,WNZ-KWE
WNZ,SYX,WNZ-SYX
WUH,CKG,WUH-CKG
WUH,CTU,WUH-CTU
WUH,HRB,WUH-HRB
WUH,JJN,WUH-JJN
WUH,NNG,WUH-NNG
WUX,CKG,WUX-CKG
WUX,CTU,WUX-CTU
WXN,CTU,WXN-CTU
WXN,KMG,WXN-KMG
WXN,PEK,WXN-PEK
WXN,SZX,WXN-SZX
XIC,CTU,XIC-CTU
XIY,BHY,XIY-BHY
XIY,CKG,XIY-CKG
XIY,CTU,XIY-CTU
XIY,FOC,XIY-FOC
XIY,GXH,XIY-GXH
XIY,HRB,XIY-HRB
XIY,KMG,XIY-KMG
XIY,LXA,XIY-LXA
XIY,LYI,XIY-LYI
XIY,TNA,XIY-TNA
XIY,URC,XIY-URC
XIY,UYN,XIY-UYN
XIY,XMN,XIY-XMN
XIY,XNN,XIY-XNN
XIY,YBP,XIY-YBP
XMN,CSX,XMN-CSX
XMN,CTU,XMN-CTU
XMN,CZX,XMN-CZX
XMN,KMG,XMN-KMG
XMN,KOW,XMN-KOW
XMN,XIY,XMN-XIY
XNN,CKG,XNN-CKG
XNN,CTU,XNN-CTU
XNN,LXA,XNN-LXA
XNN,MIG,XNN-MIG
XNN,XIY,XNN-XIY
XNN,ZHY,XNN-ZHY
XUZ,CTU,XUZ-CTU
XUZ,DLC,XUZ-DLC
XUZ,HRB,XUZ-HRB
XUZ,KMG,XUZ-KMG
XUZ,KWE,XUZ-KWE
XUZ,SHE,XUZ-SHE
YBP,SYX,YBP-SYX
YBP,XIY,YBP-XIY
YIH,CKG,YIH-CKG
YIH,CTU,YIH-CTU
YTY,CTU,YTY-CTU
YVR,SHE,YVR-SHE
ZHA,CKG,ZHA-CKG
ZHY,PEK,ZHY-PEK
ZHY,XNN,ZHY-XNN
ZUH,CZX,ZUH-CZX
ZUH,HAK,ZUH-HAK
LAS,LAX,LAS-LAX
LAX,LAS,LAX-LAS
CAI,TLV,CAI-TLV
TLV,CAI,TLV-CAI
MCG,NIB,MCG-NIB
NIB,MCG,NIB-MCG
TLJ,MCG,TLJ-MCG
BKK,DAC,BKK-DAC
BZL,DAC,BZL-DAC
CCU,CGP,CCU-CGP
CCU,DAC,CCU-DAC
CGP,CCU,CGP-CCU
CGP,DAC,CGP-DAC
CGP,MCT,CGP-MCT
CXB,DAC,CXB-DAC
DAC,BKK,DAC-BKK
DAC,BZL,DAC-BZL
DAC,CCU,DAC-CCU
DAC,CGP,DAC-CGP
DAC,CXB,DAC-CXB
DAC,DXB,DAC-DXB
DAC,JED,DAC-JED
DAC,JSR,DAC-JSR
DAC,KTM,DAC-KTM
DAC,KUL,DAC-KUL
DAC,MCT,DAC-MCT
DAC,SPD,DAC-SPD
DAC,ZYL,DAC-ZYL
DXB,DAC,DXB-DAC
JED,DAC,JED-DAC
JSR,DAC,JSR-DAC
KTM,DAC,KTM-DAC
KUL,DAC,KUL-DAC
MCT,CGP,MCT-CGP
MCT,DAC,MCT-DAC
RJH,DAC,RJH-DAC
SPD,DAC,SPD-DAC
SPD,RJH,SPD-RJH
ZYL,DAC,ZYL-DAC
YGZ,YRB,YGZ-YRB
YRB,YGZ,YRB-YGZ
DFW,EZE,DFW-EZE
EZE,DFW,EZE-DFW
EZE,JFK,EZE-JFK
EZE,MIA,EZE-MIA
EZE,PUJ,EZE-PUJ
JFK,EZE,JFK-EZE
MIA,EZE,MIA-EZE
MIA,PUJ,MIA-PUJ
PUJ,EZE,PUJ-EZE
PUJ,MIA,PUJ-MIA
YEG,YXY,YEG-YXY
YLW,YVR,YLW-YVR
YLW,YXY,YLW-YXY
YOW,YZF,YOW-YZF
YVR,YLW,YVR-YLW
YVR,YXY,YVR-YXY
YXY,YLW,YXY-YLW
YXY,YVR,YXY-YVR
YXY,YYC,YXY-YYC
