Airport_ID,Name,Country_ID,geom
BHJ,Bhuj Airport,India,01010000C024FFFF7FE46A51406BFAFF3FAD4937400000000000C070400000000000000000
IXG,Belgaum Airport,India,01010000C092FFFF3F92A7524038C0FF1FF6B72F4000000000006EA3400000000000000000
BDQ,Vadodara Airport,India,01010000C026FF93BF7B4E5240EBE1CB441156364000000000002060400000000000000000
BHO,Raja Bhoj International Airport,India,01010000C0BE0D000098555340492100A0994937400000000000BC9A400000000000000000
BHU,Bhavnagar Airport,India,01010000C054F3FF5FDA0B5240FE1C002090C0354000000000000046400000000000000000
NMB,Daman Airport,India,01010000C000000000F7355240000000E0346F344000000000008040400000000000000000
GUX,Guna Airport,India,01010000C0D6FD63213A56534052B9895A9AA7384000000000000099400000000000000000
GOI,Dabolim Airport,India,01010000C0AC0C00A035755240C0100040F8C22E400000000000C062400000000000000000
IDR,Devi Ahilyabai Holkar Airport,India,01010000C02908004045F35240BA2700E0C7B836400000000000E89C400000000000000000
JLR,Jabalpur Airport,India,01010000C0000000005403544001000040842D374000000000006099400000000000000000
JGA,Jamnagar Airport,India,01010000C000000080CE805140000000002B77364000000000004051400000000000000000
IXY,Kandla Airport,India,01010000C01CEA77616B8651405B423EE8D91C374000000000000058400000000000000000
HJR,Khajuraho Airport,India,01010000C055F3FF5FCAFA5340A4DDFFFF33D138400000000000C086400000000000000000
KLH,Kolhapur Airport,India,01010000C02B0B00808592524053D0FFBF29AA30400000000000309F400000000000000000
IXK,Keshod Airport,India,01010000C0000000404E915140000000802D5135400000000000E064400000000000000000
NAG,Dr. Babasaheb Ambedkar International Airport,India,01010000C00000006005C35340000000609A17354000000000002490400000000000000000
ISK,Nashik Airport,India,01010000C0E65AB4006D7A5240C0EB33677D1E34400000000000B09D400000000000000000
PNQ,Pune Airport,India,01010000C000000060DC7A524000000080049532400000000000589E400000000000000000
